5,299,1.48E-04,70
10,300,2.78E-04,78
20,302,5.55E-04,85
50,301,1.56E-03,85
70,305,2.55E-03,72
100,305,3.44E-03,47
200,307,3.38E-03,15
500,302,3.07E-03,5
1000,302,3.03E-03,2
