5,1.48E-04,299,-70
10,2.78E-04,300,-78
20,5.55E-04,302,-85
50,1.56E-03,301,-85
70,2.55E-03,305,-72
100,3.44E-03,305,-47
200,3.38E-03,307,-15
500,3.07E-03,302,-5
1000,3.03E-03,302,-2
